DATE,MORTGAGE30US
"April 2, 1971",7.33
"April 9, 1971",7.31
"April 16, 1971",7.31
"April 23, 1971",7.31
"April 30, 1971",7.29
"May 7, 1971",7.38
"May 14, 1971",7.42
"May 21, 1971",7.44
"May 28, 1971",7.46
"June 4, 1971",7.52
"June 11, 1971",7.52
"June 18, 1971",7.54
"June 25, 1971",7.54
"July 2, 1971",7.54
"July 9, 1971",7.54
"July 16, 1971",7.6
"July 23, 1971",7.65
"July 30, 1971",7.69
"August 6, 1971",7.66
"August 13, 1971",7.73
"August 20, 1971",7.71
"August 27, 1971",7.69
"September 3, 1971",7.71
"September 10, 1971",7.67
"September 17, 1971",7.7
"September 24, 1971",7.67
"October 1, 1971",7.67
"October 8, 1971",7.63
"October 15, 1971",7.63
"October 22, 1971",7.58
"October 29, 1971",7.63
"November 5, 1971",7.59
"November 12, 1971",7.56
"November 19, 1971",7.54
"November 26, 1971",7.51
"December 3, 1971",7.49
"December 10, 1971",7.47
"December 17, 1971",7.48
"December 24, 1971",7.48
"December 31, 1971",7.48
"January 7, 1972",7.46
"January 14, 1972",7.46
"January 21, 1972",7.43
"January 28, 1972",7.4
"February 4, 1972",7.35
"February 11, 1972",7.33
"February 18, 1972",7.31
"February 25, 1972",7.31
"March 3, 1972",7.32
"March 10, 1972",7.32
"March 17, 1972",7.31
"March 24, 1972",7.31
"March 31, 1972",7.23
"April 7, 1972",7.25
"April 14, 1972",7.29
"April 21, 1972",7.29
"April 28, 1972",7.33
"May 5, 1972",7.33
"May 12, 1972",7.38
"May 19, 1972",7.38
"May 26, 1972",7.4
"June 2, 1972",7.36
"June 9, 1972",7.38
"June 16, 1972",7.38
"June 23, 1972",7.36
"June 30, 1972",7.38
"July 7, 1972",7.38
"July 14, 1972",7.4
"July 21, 1972",7.4
"July 28, 1972",7.4
"August 4, 1972",7.35
"August 11, 1972",7.41
"August 18, 1972",7.42
"August 25, 1972",7.42
"September 1, 1972",7.42
"September 8, 1972",7.42
"September 15, 1972",7.42
"September 22, 1972",7.41
"September 29, 1972",7.43
"October 6, 1972",7.41
"October 13, 1972",7.41
"October 20, 1972",7.44
"October 27, 1972",7.42
"November 3, 1972",7.43
"November 10, 1972",7.42
"November 17, 1972",7.42
"November 24, 1972",7.44
"December 1, 1972",7.45
"December 8, 1972",7.43
"December 15, 1972",7.43
"December 22, 1972",7.45
"December 29, 1972",7.45
"January 5, 1973",7.44
"January 12, 1973",7.44
"January 19, 1973",7.44
"January 26, 1973",7.43
"February 2, 1973",7.43
"February 9, 1973",7.43
"February 16, 1973",7.45
"February 23, 1973",7.45
"March 2, 1973",7.45
"March 9, 1973",7.45
"March 16, 1973",7.45
"March 23, 1973",7.45
"March 30, 1973",7.49
"April 6, 1973",7.51
"April 13, 1973",7.54
"April 20, 1973",7.56
"April 27, 1973",7.56
"May 4, 1973",7.58
"May 11, 1973",7.64
"May 18, 1973",7.69
"May 24, 1973",7.7
"June 1, 1973",7.7
"June 8, 1973",7.73
"June 15, 1973",7.73
"June 22, 1973",7.75
"June 29, 1973",7.76
"July 6, 1973",7.89
"July 13, 1973",8.01
"July 20, 1973",8.12
"July 27, 1973",8.18
"August 3, 1973",8.26
"August 10, 1973",8.4
"August 17, 1973",8.55
"August 24, 1973",8.61
"August 31, 1973",8.66
"September 7, 1973",8.77
"September 14, 1973",8.81
"September 21, 1973",8.83
"September 28, 1973",8.85
"October 5, 1973",8.82
"October 12, 1973",8.83
"October 19, 1973",8.75
"October 26, 1973",8.68
"November 2, 1973",8.62
"November 9, 1973",8.59
"November 16, 1973",8.58
"November 23, 1973",8.57
"November 30, 1973",8.55
"December 7, 1973",8.53
"December 14, 1973",8.53
"December 21, 1973",8.53
"December 28, 1973",8.56
"January 4, 1974",8.56
"January 11, 1974",8.53
"January 18, 1974",8.55
"January 25, 1974",8.52
"February 1, 1974",8.48
"February 8, 1974",8.46
"February 15, 1974",8.46
"February 22, 1974",8.42
"March 1, 1974",8.41
"March 8, 1974",8.41
"March 15, 1974",8.4
"March 22, 1974",8.4
"March 29, 1974",8.41
"April 5, 1974",8.44
"April 12, 1974",8.53
"April 19, 1974",8.63
"April 26, 1974",8.73
"May 3, 1974",8.87
"May 10, 1974",8.98
"May 17, 1974",8.97
"May 24, 1974",9.01
"May 31, 1974",9.03
"June 7, 1974",9.06
"June 14, 1974",9.11
"June 21, 1974",9.07
"June 28, 1974",9.1
"July 5, 1974",9.14
"July 12, 1974",9.19
"July 19, 1974",9.37
"July 26, 1974",9.42
"August 2, 1974",9.47
"August 9, 1974",9.5
"August 16, 1974",9.6
"August 23, 1974",9.62
"August 30, 1974",9.74
"September 6, 1974",9.88
"September 13, 1974",9.92
"September 20, 1974",10
"September 27, 1974",10.03
"October 4, 1974",10.02
"October 11, 1974",9.96
"October 18, 1974",9.99
"October 25, 1974",9.94
"November 1, 1974",9.87
"November 8, 1974",9.81
"November 15, 1974",9.81
"November 22, 1974",9.73
"November 29, 1974",9.72
"December 6, 1974",9.69
"December 13, 1974",9.63
"December 20, 1974",9.58
"December 27, 1974",9.56
"January 3, 1975",9.6
"January 10, 1975",9.49
"January 17, 1975",9.43
"January 24, 1975",9.35
"January 31, 1975",9.29
"February 7, 1975",9.2
"February 14, 1975",9.13
"February 21, 1975",9.07
"February 28, 1975",9.02
"March 7, 1975",9
"March 14, 1975",8.89
"March 21, 1975",8.86
"March 28, 1975",8.86
"April 4, 1975",8.83
"April 11, 1975",8.81
"April 18, 1975",8.8
"April 25, 1975",8.84
"May 2, 1975",8.92
"May 9, 1975",8.88
"May 16, 1975",8.92
"May 23, 1975",8.92
